objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image-thumb,image_alt_text,object_transcript
D001001,d001001.jpg,Senior Class Photo,davctate,1991,Group class photo taken for senior yearbook. ,LCHS 1992,"Tiptonville, Tennessee",36.35442,-89.42631,Digitized from David Tate&#39;s personal collection.,,D001001,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001001.jpg,/objects/d001001.jpg,/objects/d001001.jpg,/objects/d001001.jpg,
D001002,d001002.jpg,Lara Kendall Elementary ,davctate,1979,A photo of Lara Kendall Elementary School.,LCHS 1992,"Ridgely, Tennessee",36.26605,-89.48054,Digitized from David Tate&#39;s personal collection.,,D001002,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001002.jpg,/objects/d001002.jpg,/objects/d001002.jpg,/objects/d001002.jpg,
D001003,d001003.jpg,A Trip to the Capitol,davctate,1986,"A 1986 class trip to the Tennessee State Capitol in Nashville, Tennessee. ",LCHS 1992,"Nashville, Tennessee",36.16597,-86.78346,Digitized from David Tate&#39;s personal collection.,,D001003,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001003.jpg,/objects/d001003.jpg,/objects/d001003.jpg,/objects/d001003.jpg,
D001004,d001004.jpg,30th Reunion Itinerary,davctate,2022,Itinerary for the Lake County High School Class of 1992&#39;s 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36346,-89.43281,Digitized from David Tate&#39;s personal collection.,,D001004,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001004.jpg,/objects/d001004.jpg,/objects/d001004.jpg,/objects/d001004.jpg,
D001005,d001005.jpg,The Gals,davctate,2022,A group photo of classmates at the 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&#39;s personal collection.,,D001005,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001005.jpg,/objects/d001005.jpg,/objects/d001005.jpg,/objects/d001005.jpg,
D001006,d001006.jpg,A Group Photo,davctate,2022,A group photo taken at the 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&#39;s personal collection.,,D001006,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001006.jpg,/objects/d001006.jpg,/objects/d001006.jpg,/objects/d001006.jpg,
D001007,d001007.jpg,Making It Beautiful,davctate,2022,A view of Ellington Hall being decorated for the 30th reunion. ,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&#39;s personal collection.,,D001007,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001007.jpg,/objects/d001007.jpg,/objects/d001007.jpg,/objects/d001007.jpg,
D001008,d001008.jpg,A Pause from Balloons,davctate,2022,A classmate pauses progress to strike a pose for the camera.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&#39;s personal collection.,,D001008,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001008.jpg,/objects/d001008.jpg,/objects/d001008.jpg,/objects/d001008.jpg,
D001009,d001009.jpg,Senior Class Composite,davctate,1991,A composite of the Lake County High School Class of 1992.,LCHS 1992,"Tiptonville, Tennessee",36.37529,-89.47285,Digitized from David Tate&#39;s personal collection.,,D001009,Image;StillImage,image/jpeg,English,No copyright held.,,image,/objects/d001009.jpg,/objects/d001009.jpg,/objects/d001009.jpg,/objects/d001009.jpg,
D001010,d001010.htm,Email,davctate,2025,An email to use as a digital-born textual document. ,LCHS 1992,"Dyersburg, Tennessee",36.04911,-89.39144,Digitized from David Tate&#39;s personal collection.,,D001010,Text,text/htm,English,No copyright held.,,text,/objects/d001010.htm,/objects/d001010.htm,/objects/d001010.htm,/objects/d001010.htm,
